==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, lr=0.0002, margin=0.3, max_epoch=10, num_instances=4, optim='adam', print_freq=10, reranking=False, resume='', root='/home/prj/data', save_dir='./log/softmax', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, test_distance='global', train_batch=32, unaligned=False, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 0
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
=================> Start training
Epoch: [1][10/404]	Time 0.214 (0.470)	Data 0.009 (0.096)	Loss 6.7883 (6.7093)	
Epoch: [1][20/404]	Time 0.221 (0.341)	Data 0.009 (0.053)	Loss 6.9422 (6.8255)	
Epoch: [1][30/404]	Time 0.212 (0.298)	Data 0.010 (0.038)	Loss 6.5456 (6.8482)	
Epoch: [1][40/404]	Time 0.212 (0.277)	Data 0.010 (0.031)	Loss 6.4175 (6.7915)	
Epoch: [1][50/404]	Time 0.211 (0.264)	Data 0.009 (0.027)	Loss 6.5704 (6.7518)	
Epoch: [1][60/404]	Time 0.215 (0.255)	Data 0.010 (0.024)	Loss 6.6275 (6.7215)	
Epoch: [1][70/404]	Time 0.218 (0.250)	Data 0.010 (0.022)	Loss 6.3572 (6.6876)	
Epoch: [1][80/404]	Time 0.217 (0.245)	Data 0.009 (0.020)	Loss 6.5106 (6.6638)	
Epoch: [1][90/404]	Time 0.215 (0.242)	Data 0.010 (0.019)	Loss 6.4904 (6.6395)	
Epoch: [1][100/404]	Time 0.212 (0.240)	Data 0.005 (0.018)	Loss 6.3916 (6.6149)	
Epoch: [1][110/404]	Time 0.218 (0.238)	Data 0.010 (0.017)	Loss 6.3911 (6.5946)	
Epoch: [1][120/404]	Time 0.216 (0.236)	Data 0.010 (0.017)	Loss 6.5402 (6.5737)	
Epoch: [1][130/404]	Time 0.215 (0.234)	Data 0.010 (0.016)	Loss 6.0456 (6.5563)	
Epoch: [1][140/404]	Time 0.218 (0.233)	Data 0.010 (0.016)	Loss 6.2235 (6.5313)	
Epoch: [1][150/404]	Time 0.214 (0.232)	Data 0.010 (0.015)	Loss 5.9997 (6.5016)	
Epoch: [1][160/404]	Time 0.217 (0.231)	Data 0.010 (0.015)	Loss 6.5960 (6.4828)	
Epoch: [1][170/404]	Time 0.219 (0.230)	Data 0.010 (0.015)	Loss 6.6907 (6.4575)	
Epoch: [1][180/404]	Time 0.214 (0.229)	Data 0.009 (0.014)	Loss 6.0857 (6.4234)	
Epoch: [1][190/404]	Time 0.219 (0.228)	Data 0.010 (0.014)	Loss 5.1579 (6.3890)	
Epoch: [1][200/404]	Time 0.213 (0.228)	Data 0.009 (0.014)	Loss 5.5434 (6.3647)	
Epoch: [1][210/404]	Time 0.213 (0.227)	Data 0.009 (0.014)	Loss 5.7098 (6.3297)	
Epoch: [1][220/404]	Time 0.212 (0.226)	Data 0.009 (0.013)	Loss 5.3328 (6.2917)	
Epoch: [1][230/404]	Time 0.212 (0.226)	Data 0.010 (0.013)	Loss 5.5827 (6.2587)	
Epoch: [1][240/404]	Time 0.211 (0.225)	Data 0.009 (0.013)	Loss 5.2885 (6.2217)	
Epoch: [1][250/404]	Time 0.214 (0.225)	Data 0.010 (0.013)	Loss 5.1302 (6.1903)	
Epoch: [1][260/404]	Time 0.211 (0.224)	Data 0.009 (0.013)	Loss 4.9425 (6.1512)	
Epoch: [1][270/404]	Time 0.212 (0.224)	Data 0.009 (0.013)	Loss 4.8903 (6.1085)	
Epoch: [1][280/404]	Time 0.212 (0.224)	Data 0.009 (0.013)	Loss 4.2767 (6.0657)	
Epoch: [1][290/404]	Time 0.212 (0.223)	Data 0.009 (0.012)	Loss 4.6063 (6.0272)	
Epoch: [1][300/404]	Time 0.211 (0.223)	Data 0.009 (0.012)	Loss 5.5239 (5.9870)	
Epoch: [1][310/404]	Time 0.214 (0.222)	Data 0.010 (0.012)	Loss 4.2982 (5.9472)	
Epoch: [1][320/404]	Time 0.212 (0.222)	Data 0.010 (0.012)	Loss 4.9032 (5.8989)	
Epoch: [1][330/404]	Time 0.213 (0.222)	Data 0.009 (0.012)	Loss 4.3237 (5.8582)	
Epoch: [1][340/404]	Time 0.213 (0.221)	Data 0.010 (0.012)	Loss 3.7676 (5.8099)	
Epoch: [1][350/404]	Time 0.210 (0.221)	Data 0.009 (0.012)	Loss 4.1961 (5.7649)	
Epoch: [1][360/404]	Time 0.212 (0.221)	Data 0.009 (0.012)	Loss 3.7545 (5.7193)	
Epoch: [1][370/404]	Time 0.209 (0.221)	Data 0.009 (0.012)	Loss 3.8288 (5.6692)	
